report_id,report_type,timestamp,location,department,equipment,raw_text,cleaned_text,metadata,sif_label,hazard_category,severity,immediate_action,intervention,corrective_action,preventive_action,work_stopped
82aa5263-34b2-4c83-9dc5-11ef9115dedd,Unsafe Act,,Unit B,,Electrical Panel,Worker observed not wearing safety glasses at Unit B.,Worker observed not wearing safety glasses at Unit B.,{},NO,Working at Height,LOW,stopped work,colleague intervened,,,
480f8dc3-261a-46ad-b4c3-a1259729f5c5,Unsafe Act,,Unit A,,Valve,Line opened with residual pressure on the Valve. High-energy release narrowly missed the operator.,Line opened with residual pressure on the Valve. High-energy release narrowly missed the operator.,{},YES,Energy Isolation,CRITICAL,reported to supervisor,,replaced equipment,retrained staff,True
0ae3d5a9-66dd-40fa-a448-89abe234301f,Unsafe Act,,Unit B,,Compressor,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Energy Isolation,LOW,,supervisor intervened,replaced equipment,updated procedures,
44296dba-c7a6-40f3-9a3a-c6cfa7c000bd,Unsafe Act,,Offshore Platform 1,,Pump,Worker observed not wearing safety glasses at Offshore Platform 1.,Worker observed not wearing safety glasses at Offshore Platform 1.,{},NO,Slips/Trips,LOW,reported to supervisor,supervisor intervened,,,True
6bb1bbba-991d-4eae-b6fc-29c9a932258a,Unsafe Act,,Refinery Sector 4,,Compressor,Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,{},NO,Manual Handling,LOW,,colleague intervened,,,True
eff95fd7-f19b-4629-a549-e6c200121bdd,Unsafe Act,,Unit A,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,{},NO,Electrical,LOW,,,,updated procedures,False
e494d840-1fa0-4ebe-a49a-f0b07147d073,Unsafe Act,,Refinery Sector 4,,Compressor,Worker observed not wearing safety glasses at Refinery Sector 4.,Worker observed not wearing safety glasses at Refinery Sector 4.,{},NO,Energy Isolation,MEDIUM,,colleague intervened,replaced equipment,updated procedures,
70bcbda1-4b98-4910-ac61-c3181144030a,Unsafe Act,,Unit B,,Compressor,"While working at Unit B, worker was at height without fall protection. Serious risk of fatal fall.","While working at Unit B, worker was at height without fall protection. Serious risk of fatal fall.",{},YES,Confined Space,CRITICAL,reported to supervisor,supervisor intervened,cleaned up,retrained staff,False
b4cb2f59-4c31-40bd-8866-cb615fb261cc,Unsafe Act,,Unit A,,Compressor,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Working at Height,MEDIUM,,,,,True
a5fa4547-1324-40ec-9e89-f8246abc43ea,Unsafe Condition,,Refinery Sector 4,,Pump,Worker observed not wearing safety glasses at Refinery Sector 4.,Worker observed not wearing safety glasses at Refinery Sector 4.,{},NO,Pressure,MEDIUM,stopped work,,,,
ba28f3fd-97a6-47db-a6cd-d5c8d3b0027c,Unsafe Act,,Refinery Sector 4,,Electrical Panel,Line opened with residual pressure on the Electrical Panel. High-energy release narrowly missed the operator.,Line opened with residual pressure on the Electrical Panel. High-energy release narrowly missed the operator.,{},YES,Energy Isolation,HIGH,reported to supervisor,,,updated procedures,True
05d75027-060f-46ea-a858-5085ab3efb98,Unsafe Condition,,Unit B,,Heat Exchanger,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Pressure,MEDIUM,stopped work,,replaced equipment,retrained staff,
dd0eae3d-8a7f-4ac5-8e16-b0cda42d56e1,Unsafe Condition,,Unit A,,Valve,Trip hazard due to loose cables near Valve. Cables were immediately organized.,Trip hazard due to loose cables near Valve. Cables were immediately organized.,{},NO,Energy Isolation,LOW,stopped work,colleague intervened,,,False
15ac57fe-247f-4922-9db2-b02107c285d1,Unsafe Act,,Unit B,,Electrical Panel,Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,Small oil spill near Electrical Panel at Unit B. Cleaned up promptly.,{},NO,Working at Height,LOW,,colleague intervened,replaced equipment,,
7fb332ee-daee-4c33-8979-0a4c88ca5c72,Unsafe Condition,,Unit B,,Electrical Panel,Worker observed not wearing safety glasses at Unit B.,Worker observed not wearing safety glasses at Unit B.,{},NO,Slips/Trips,LOW,stopped work,supervisor intervened,replaced equipment,retrained staff,False
0fe06c46-82f8-4ddf-a5ce-71edd2ea391c,Unsafe Act,,Refinery Sector 4,,Heat Exchanger,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,{},NO,Manual Handling,LOW,reported to supervisor,colleague intervened,replaced equipment,updated procedures,
8ab3305c-ed6f-44fe-9aed-00ca0385ce30,Unsafe Condition,,Refinery Sector 4,,Electrical Panel,Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Electrical Panel at Refinery Sector 4. Cleaned up promptly.,{},NO,Pressure,LOW,stopped work,supervisor intervened,,retrained staff,True
62dcf83a-e6c9-4634-bff2-14b1d04df12a,Unsafe Condition,,Unit B,,Compressor,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,Trip hazard due to loose cables near Compressor. Cables were immediately organized.,{},NO,Slips/Trips,MEDIUM,reported to supervisor,,,updated procedures,
f544b43a-a9db-4e5a-8529-ccf48d5cc182,Unsafe Act,,Offshore Platform 1,,Valve,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,Small oil spill near Valve at Offshore Platform 1. Cleaned up promptly.,{},NO,Working at Height,MEDIUM,,colleague intervened,replaced equipment,updated procedures,
48e72e88-7173-4bde-9a72-a92465ef8257,Unsafe Act,,Offshore Platform 1,,Valve,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Pressure,LOW,stopped work,,cleaned up,retrained staff,False
2f0058b7-af40-494f-85f0-93ed13acefe9,Unsafe Condition,,Unit A,,Compressor,,,{},NO,Confined Space,MEDIUM,,,,updated procedures,True
8d2d8347-b4c0-4888-990e-71a86bb86d51,Unsafe Condition,,Unit A,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,{},NO,Energy Isolation,MEDIUM,,,,updated procedures,False
26f64e67-58ac-4401-987a-0413b52cc3fc,Unsafe Condition,,Refinery Sector 4,,Valve,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,Worker used incorrect gloves for manual handling task. Supervisor corrected the action.,{},NO,Energy Isolation,MEDIUM,,supervisor intervened,cleaned up,,False
41977200-2bda-460e-883b-318b9be49d27,Unsafe Act,,Unit B,,Electrical Panel,Worker observed not wearing safety glasses at Unit B.,Worker observed not wearing safety glasses at Unit B.,{},NO,Confined Space,LOW,reported to supervisor,,,,True
17958f4e-914a-42e9-96a4-483eabed41cc,Unsafe Act,,Refinery Sector 4,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,{},NO,Working at Height,MEDIUM,stopped work,colleague intervened,replaced equipment,,False
0434f3e1-5541-497c-b829-c702c972c492,Unsafe Condition,,Refinery Sector 4,,Valve,Small oil spill near Valve at Refinery Sector 4. Cleaned up promptly.,Small oil spill near Valve at Refinery Sector 4. Cleaned up promptly.,{},NO,Working at Height,MEDIUM,stopped work,colleague intervened,cleaned up,retrained staff,False
