report_id,report_type,timestamp,location,department,equipment,raw_text,cleaned_text,metadata,sif_label,hazard_category,severity,immediate_action,intervention,corrective_action,preventive_action,work_stopped
bdc0a981-47a8-4ae9-acd4-e37b854fb18e,Unsafe Act,,Unit B,,Heat Exchanger,Worker entered the confined space at Unit B without conducting a gas test. No standby person was present.,worker entered the confined space at unit b without conducting a gas test. no standby person was present.,{},YES,Energy Isolation,HIGH,,supervisor intervened,replaced equipment,retrained staff,
a2fca1d6-b95a-4c19-84fa-6c7948147650,Unsafe Act,,Unit A,,Electrical Panel,Small oil spill near Electrical Panel at Unit A. Cleaned up promptly.,small oil spill near electrical panel at unit a. cleaned up promptly.,{},NO,Energy Isolation,MEDIUM,stopped work,supervisor intervened,,,True
6bb1bbba-991d-4eae-b6fc-29c9a932258a,Unsafe Act,,Refinery Sector 4,,Compressor,Small oil spill near Compressor at Refinery Sector 4. Cleaned up promptly.,small oil spill near compressor at refinery sector 4. cleaned up promptly.,{},NO,Manual Handling,LOW,,colleague intervened,,,True
480f8dc3-261a-46ad-b4c3-a1259729f5c5,Unsafe Act,,Unit A,,Valve,Line opened with residual pressure on the Valve. High-energy release narrowly missed the operator.,line opened with residual pressure on the valve. high-energy release narrowly missed the operator.,{},YES,Energy Isolation,CRITICAL,reported to supervisor,,replaced equipment,retrained staff,True
624684f9-ee1d-4111-bc59-a99305b8ac0c,Near Miss,,Unit A,,Heat Exchanger,"During maintenance of the Heat Exchanger at Unit A, the technician started work without isolating the equipment. The Heat Exchanger was still energized.","during maintenance of the heat exchanger at unit a, the technician started work without isolating the equipment. the heat exchanger was still energized.",{},YES,Energy Isolation,HIGH,,,cleaned up,,
0c63e2e9-ae49-4ee2-b752-6152f069dce1,Unsafe Act,,Unit A,,Electrical Panel,"During maintenance of the Electrical Panel at Unit A, the technician started work without isolating the equipment. The Electrical Panel was still energized.","during maintenance of the electrical panel at unit a, the technician started work without isolating the equipment. the electrical panel was still energized.",{},YES,Working at Height,HIGH,reported to supervisor,,,updated procedures,True
6b139a44-8b3d-44d8-af4d-12d8cf3b8586,Unsafe Act,,Unit A,,Compressor,Small oil spill near Compressor at Unit A. Cleaned up promptly.,small oil spill near compressor at unit a. cleaned up promptly.,{},NO,Working at Height,MEDIUM,,supervisor intervened,replaced equipment,retrained staff,False
eff95fd7-f19b-4629-a549-e6c200121bdd,Unsafe Act,,Unit A,,Electrical Panel,Trip hazard due to loose cables near Electrical Panel. Cables were immediately organized.,trip hazard due to loose cables near electrical panel. cables were immediately organized.,{},NO,Electrical,LOW,,,,updated procedures,False
e494d840-1fa0-4ebe-a49a-f0b07147d073,Unsafe Act,,Refinery Sector 4,,Compressor,Worker observed not wearing safety glasses at Refinery Sector 4.,worker observed not wearing safety glasses at refinery sector 4.,{},NO,Energy Isolation,MEDIUM,,colleague intervened,replaced equipment,updated procedures,
9b297b07-1af5-40a0-bd2c-b258bac030f2,Unsafe Act,,Unit B,,Valve,Small oil spill near Valve at Unit B. Cleaned up promptly.,small oil spill near valve at unit b. cleaned up promptly.,{},NO,Working at Height,LOW,reported to supervisor,supervisor intervened,cleaned up,retrained staff,
0617487d-198c-479f-b737-0ac1d99632da,Near Miss,,Unit B,,Heat Exchanger,Line opened with residual pressure on the Heat Exchanger. High-energy release narrowly missed the operator.,line opened with residual pressure on the heat exchanger. high-energy release narrowly missed the operator.,{},YES,Confined Space,CRITICAL,,,replaced equipment,updated procedures,
0fe06c46-82f8-4ddf-a5ce-71edd2ea391c,Unsafe Act,,Refinery Sector 4,,Heat Exchanger,Small oil spill near Heat Exchanger at Refinery Sector 4. Cleaned up promptly.,small oil spill near heat exchanger at refinery sector 4. cleaned up promptly.,{},NO,Manual Handling,LOW,reported to supervisor,colleague intervened,replaced equipment,updated procedures,
583cb2d6-3819-4cd5-a7b2-42cc875378ab,Near Miss,,Unit B,,Heat Exchanger,"During maintenance of the Heat Exchanger at Unit B, the technician started work without isolating the equipment. The Heat Exchanger was still energized.","during maintenance of the heat exchanger at unit b, the technician started work without isolating the equipment. the heat exchanger was still energized.",{},YES,Confined Space,HIGH,stopped work,supervisor intervened,,updated procedures,False
2f0058b7-af40-494f-85f0-93ed13acefe9,Unsafe Condition,,Unit A,,Compressor,,,{},NO,Confined Space,MEDIUM,,,,updated procedures,True
8ca23841-c30e-493a-8ca2-ec7dd5073583,Unsafe Act,,Unit A,,Valve,"While working at Unit A, worker was at height without fall protection. Serious risk of fatal fall.","while working at unit a, worker was at height without fall protection. serious risk of fatal fall.",{},YES,Energy Isolation,CRITICAL,stopped work,,replaced equipment,retrained staff,
